code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
3,974,717,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass
0,2013J,827,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
7,2013J,453,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
5,2013J,112,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
3,2013J,206,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
5,2013J,183,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
7,2013J,486,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
7,2013J,109,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
7,2013J,206,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
5,2013J,101,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass
0,2013J,751,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
0,2013J,278,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
0,2013J,272,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
1,2013J,713,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
8,2013J,836,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
7,2013J,436,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
8,2013J,770,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
9,2013J,943,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
8,2013J,550,M,East Anglian Region,A Level or Equivalent,20-Oct,35-55,0,150,N,Fail
5,2013J,719,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
0,2013J,393,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
2,2013J,306,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass
0,2013J,851,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
3,2013J,270,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
3,2013J,589,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
3,2013J,701,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
5,2013J,785,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
6,2013J,793,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
0,2013J,505,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
3,2013J,517,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
7,2013J,514,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
4,2013J,151,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
6,2013J,173,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
8,2013J,608,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
2,2013J,515,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass
0,2013J,944,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
2,2013J,567,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass
2,2013J,460,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
1,2013J,201,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
6,2013J,641,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
8,2013J,335,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
6,2013J,745,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
4,2013J,338,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
4,2013J,869,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
5,2013J,892,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
0,2013J,281,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn
3,2013J,132,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
5,2013J,291,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass
7,2013J,861,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn
0,2013J,663,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
3,2013J,951,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
6,2013J,367,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
5,2013J,506,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
1,2013J,604,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
9,2013J,316,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
8,2013J,349,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
6,2013J,697,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass
6,2013J,644,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
8,2013J,330,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
2,2013J,671,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
2,2013J,422,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
6,2013J,190,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
0,2013J,320,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
5,2013J,189,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
1,2013J,459,F,West Midlands Region,Lower Than A Level,20-Oct,35-55,0,60,N,Pass
6,2013J,477,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
9,2013J,243,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
1,2013J,309,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
