code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
38,2013J,926,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass
11,2013J,520,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
38,2013J,339,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
43,2013J,886,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
2,2013J,399,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
49,2013J,797,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
47,2013J,404,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
20,2013J,852,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
26,2013J,954,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
5,2013J,891,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass
29,2013J,184,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
49,2013J,590,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
16,2013J,118,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
16,2013J,576,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
24,2013J,957,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
44,2013J,942,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
28,2013J,473,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
18,2013J,202,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
33,2013J,432,M,East Anglian Region,A Level or Equivalent,20-Oct,35-55,0,150,N,Fail
14,2013J,518,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
34,2013J,802,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
2,2013J,461,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass
22,2013J,786,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
40,2013J,362,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
43,2013J,841,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
46,2013J,889,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
33,2013J,634,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
45,2013J,533,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
8,2013J,391,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
20,2013J,168,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
47,2013J,698,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
41,2013J,912,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
42,2013J,327,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
14,2013J,268,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
25,2013J,836,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass
4,2013J,696,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
23,2013J,132,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass
49,2013J,648,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
45,2013J,915,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
37,2013J,651,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
40,2013J,244,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
9,2013J,867,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
30,2013J,143,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
25,2013J,933,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
3,2013J,824,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
13,2013J,164,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn
34,2013J,116,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
21,2013J,177,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass
0,2013J,618,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn
29,2013J,274,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
16,2013J,347,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
24,2013J,349,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
10,2013J,371,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
24,2013J,113,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
45,2013J,510,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
29,2013J,381,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
1,2013J,134,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass
22,2013J,229,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
47,2013J,352,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
31,2013J,318,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
40,2013J,819,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
8,2013J,270,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
40,2013J,619,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
1,2013J,428,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
21,2013J,995,F,West Midlands Region,Lower Than A Level,20-Oct,35-55,0,60,N,Pass
36,2013J,944,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
30,2013J,718,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
40,2013J,113,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
39,2013J,728,M,North Region,HE Qualification,,35-55,0,60,N,Pass
21,2013J,774,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
33,2013J,363,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail
23,2013J,723,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
14,2013J,134,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
36,2013J,722,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
15,2013J,227,M,London Region,A Level or Equivalent,20-Oct,0-35,0,180,N,Pass
44,2013J,964,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass
43,2013J,411,M,London Region,HE Qualification,20-Oct,0-35,0,120,N,Fail
38,2013J,591,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass
35,2013J,151,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction
16,2013J,400,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
44,2013J,240,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
8,2013J,668,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
47,2013J,825,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
41,2013J,549,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
36,2013J,110,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
39,2013J,513,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass
16,2013J,472,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail
14,2013J,511,F,London Region,A Level or Equivalent,20-Oct,35-55,0,60,N,Distinction
33,2013J,627,M,Ireland,HE Qualification,,0-35,0,180,N,Fail
36,2013J,250,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
23,2013J,238,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
48,2013J,493,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
20,2013J,115,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
25,2013J,969,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass
29,2013J,491,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn
17,2013J,679,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass
30,2013J,289,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
38,2013J,285,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass
46,2013J,960,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
41,2013J,608,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
1,2013J,831,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail
5,2013J,369,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass
20,2013J,598,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
36,2013J,596,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass
25,2013J,535,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass
39,2013J,747,M,North Western Region,HE Qualification,20-Oct,0-35,0,120,N,Pass
19,2013J,117,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
