code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
1,2013J,1111,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass
3,2013J,1111,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
3,2013J,2222,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
2,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
2,2013J,2222,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
0,2013J,2222,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
0,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
0,2013J,1111,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
3,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
1,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass
3,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
3,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
1,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
0,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
3,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
2,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
0,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
3,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
1,2013J,74372,M,East Anglian Region,A Level or Equivalent,20-Oct,35-55,0,150,N,Fail
